#AFFY	Barcode
1553317_s_at	0
1553318_at	0
1553319_at	0
1553320_s_at	0
1553321_a_at	0
1553322_s_at	1
1553323_a_at	0
1553325_at	0
1553326_at	0
1553327_a_at	0
1553328_a_at	0
1553329_at	0
1553330_at	0
1553333_at	0
1553335_x_at	0
1553336_a_at	0
1553338_at	1
1553340_s_at	0
1553341_at	0
1553344_at	0
1553346_a_at	0
1553347_s_at	0
1553348_a_at	0
1553349_at	1
1553350_at	0
1553351_at	0
1553352_x_at	0
1553354_a_at	0
1553355_at	0
1553356_at	0
1553357_at	0
1553359_at	0
1553361_x_at	0
1553362_at	0
1553363_at	0
1553364_at	0
1553365_at	0
1553366_s_at	0
1553367_a_at	0
1553369_at	0
1553371_at	0
1553372_at	0
1553373_at	0
1553374_at	0
1553375_at	0
1553376_a_at	0
1553378_a_at	0
1553380_at	0
1553383_at	0
1553385_at	0
1553386_at	0
1553387_at	0
1553388_at	0
1553389_at	0
1553390_at	0
1553391_at	0
1553392_at	0
1553394_a_at	0
1553395_a_at	0
1553396_a_at	0
1553397_at	0
1553398_at	0
1553399_a_at	0
1553400_a_at	1
1553401_at	0
1553402_a_at	0
1553403_at	0
1553405_a_at	0
1553407_at	0
1553409_at	0
1553410_a_at	0
1553411_s_at	1
1553412_at	1
1553413_at	1
1553415_at	0
1553417_at	0
1553418_a_at	0
1553420_at	0
1553422_s_at	0
1553423_a_at	0
1553424_at	0
1553425_at	0
1553426_at	0
1553427_at	0
1553428_at	0
1553429_at	0
1553430_a_at	0
1553432_s_at	0
1553433_at	0
1553434_at	0
1553435_at	0
1553436_at	0
1553437_at	0
1553438_at	0
1553439_at	0
1553440_at	0
1553441_at	0
1553442_a_at	0
1553443_at	0
1553444_a_at	0
1553446_at	0
1553447_at	0
1553448_at	0
1553449_at	0
1553450_s_at	0
1553451_at	0
1553452_at	0
1553453_at	0
1553454_at	0
1553456_at	0
1553457_at	0
1553458_at	0
1553459_at	0
1553460_at	0
1553461_at	0
1553462_at	0
1553464_at	0
1553465_a_at	0
1553466_at	0
1553467_at	0
1553468_at	0
1553470_at	0
1553471_at	0
1553472_at	0
1553474_at	0
1553475_at	0
1553478_at	0
