#Ensembl Gene ID	Tumor Type
ENSG00000111206	Brain
ENSG00000111224	Brain
ENSG00000111275	Brain
ENSG00000111331	Brain
ENSG00000111371	Brain
ENSG00000111424	Brain
ENSG00000111432	Brain
ENSG00000111642	Brain
ENSG00000111647	Brain
ENSG00000111653	Brain
ENSG00000111727	Brain
ENSG00000111731	Brain
ENSG00000112139	Brain
ENSG00000112195	Brain
ENSG00000112333	Brain
ENSG00000112365	Brain
ENSG00000112640	Brain
ENSG00000112659	Brain
ENSG00000112679	Brain
ENSG00000112787	Brain
ENSG00000112812	Brain
ENSG00000112893	Brain
ENSG00000112902	Brain
ENSG00000112992	Brain
ENSG00000113140	Brain
ENSG00000113319	Brain
ENSG00000113368	Brain
ENSG00000113448	Brain
ENSG00000113532	Brain
ENSG00000113716	Brain
ENSG00000113721	Brain
ENSG00000113722	Brain
ENSG00000113812	Brain
ENSG00000113905	Brain
ENSG00000113916	Brain
ENSG00000114166	Brain
ENSG00000114541	Brain
ENSG00000114646	Brain
ENSG00000114738	Brain
ENSG00000114770	Brain
ENSG00000114841	Brain
ENSG00000114867	Brain
ENSG00000115020	Brain
ENSG00000115107	Brain
ENSG00000115232	Brain
ENSG00000115339	Brain
ENSG00000115414	Brain
ENSG00000115415	Brain
ENSG00000115421	Brain
ENSG00000115548	Brain
ENSG00000115561	Brain
ENSG00000115602	Brain
ENSG00000115616	Brain
ENSG00000115657	Brain
ENSG00000115665	Brain
ENSG00000115760	Brain
ENSG00000115806	Brain
ENSG00000115825	Brain
ENSG00000115828	Brain
ENSG00000115850	Brain
ENSG00000115904	Brain
ENSG00000116005	Brain
ENSG00000116062	Brain
ENSG00000116106	Brain
ENSG00000116147	Brain
ENSG00000116183	Brain
ENSG00000116221	Brain
ENSG00000116254	Brain
ENSG00000116266	Brain
ENSG00000116329	Brain
ENSG00000116539	Brain
ENSG00000116679	Brain
ENSG00000116698	Brain
ENSG00000116983	Brain
ENSG00000116984	Brain
ENSG00000116991	Brain
ENSG00000117013	Brain
ENSG00000117020	Brain
ENSG00000117115	Brain
ENSG00000117305	Brain
ENSG00000117318	Brain
ENSG00000117335	Brain
ENSG00000117394	Brain
ENSG00000117408	Brain
ENSG00000117425	Brain
ENSG00000117593	Brain
ENSG00000117597	Brain
ENSG00000117707	Brain
ENSG00000117713	Brain
ENSG00000117724	Brain
ENSG00000117758	Brain
ENSG00000117859	Brain
ENSG00000118058	Brain
ENSG00000118168	Brain
ENSG00000118197	Brain
ENSG00000118322	Brain
ENSG00000118639	Brain
ENSG00000118689	Brain
ENSG00000118777	Brain
ENSG00000118898	Brain
ENSG00000119121	Brain
ENSG00000119125	Brain
ENSG00000119333	Brain
ENSG00000119457	Brain
ENSG00000119599	Brain
ENSG00000119682	Brain
ENSG00000119685	Brain
ENSG00000119707	Brain
ENSG00000119866	Brain
ENSG00000119912	Brain
ENSG00000119917	Brain
ENSG00000119943	Brain
ENSG00000120217	Brain
ENSG00000120251	Brain
ENSG00000120332	Brain
ENSG00000120337	Brain
ENSG00000120437	Brain
ENSG00000120440	Brain
ENSG00000120594	Brain
ENSG00000120616	Brain
ENSG00000120733	Brain
ENSG00000120805	Brain
ENSG00000120992	Brain
ENSG00000121005	Brain
ENSG00000121031	Brain
ENSG00000121207	Brain
ENSG00000121270	Brain
ENSG00000121310	Brain
ENSG00000121446	Brain
ENSG00000121671	Brain
ENSG00000121753	Brain
ENSG00000121853	Brain
ENSG00000121879	Brain
ENSG00000121903	Brain
ENSG00000122145	Brain
ENSG00000122188	Brain
ENSG00000122420	Brain
ENSG00000122432	Brain
ENSG00000122512	Brain
ENSG00000122584	Brain
ENSG00000122678	Brain
ENSG00000122718	Brain
ENSG00000122728	Brain
ENSG00000122756	Brain
ENSG00000122778	Brain
ENSG00000122779	Brain
ENSG00000122965	Brain
ENSG00000123064	Brain
ENSG00000123106	Brain
ENSG00000123119	Brain
ENSG00000123191	Brain
ENSG00000123201	Brain
ENSG00000123213	Brain
ENSG00000123338	Brain
ENSG00000123374	Brain
ENSG00000123444	Brain
ENSG00000123572	Brain
ENSG00000123901	Brain
ENSG00000124140	Brain
ENSG00000124177	Brain
ENSG00000124215	Brain
ENSG00000124226	Brain
ENSG00000124251	Brain
ENSG00000124406	Brain
ENSG00000124440	Brain
ENSG00000124615	Brain
ENSG00000124827	Brain
ENSG00000125107	Brain
ENSG00000125166	Brain
ENSG00000125257	Brain
ENSG00000125484	Brain
ENSG00000125503	Brain
ENSG00000125629	Brain
ENSG00000125850	Brain
ENSG00000125979	Brain
ENSG00000125999	Brain
ENSG00000126001	Brain
ENSG00000126216	Brain
ENSG00000126217	Brain
ENSG00000126259	Brain
ENSG00000126262	Brain
ENSG00000126266	Brain
ENSG00000126453	Brain
ENSG00000126464	Brain
ENSG00000126746	Brain
ENSG00000126775	Brain
ENSG00000126777	Brain
ENSG00000126814	Brain
ENSG00000126821	Brain
ENSG00000126858	Brain
ENSG00000126952	Brain
ENSG00000127124	Brain
ENSG00000127152	Brain
ENSG00000127324	Brain
ENSG00000127334	Brain
ENSG00000127362	Brain
ENSG00000127412	Brain
ENSG00000127483	Brain
ENSG00000127580	Brain
ENSG00000127603	Brain
ENSG00000127616	Brain
ENSG00000127743	Brain
ENSG00000127914	Brain
ENSG00000127946	Brain
ENSG00000127955	Brain
ENSG00000127980	Brain
ENSG00000128052	Brain
ENSG00000128159	Brain
ENSG00000128245	Brain
ENSG00000128274	Brain
ENSG00000128340	Brain
ENSG00000128394	Brain
ENSG00000128512	Brain
ENSG00000128602	Brain
ENSG00000128641	Brain
ENSG00000128654	Brain
ENSG00000128815	Brain
ENSG00000128833	Brain
ENSG00000128849	Brain
ENSG00000128918	Brain
ENSG00000129158	Brain
ENSG00000129255	Brain
ENSG00000129455	Brain
ENSG00000129473	Brain
ENSG00000129646	Brain
ENSG00000129925	Brain
ENSG00000129988	Brain
ENSG00000130227	Brain
ENSG00000130413	Brain
ENSG00000130414	Brain
ENSG00000130427	Brain
ENSG00000130479	Brain
ENSG00000130487	Brain
ENSG00000130559	Brain
ENSG00000130589	Brain
ENSG00000130827	Brain
ENSG00000130830	Brain
ENSG00000130876	Brain
ENSG00000131018	Brain
ENSG00000131023	Brain
ENSG00000131051	Brain
ENSG00000131089	Brain
ENSG00000131100	Brain
ENSG00000131203	Brain
ENSG00000131401	Brain
ENSG00000131409	Brain
ENSG00000131435	Brain
ENSG00000131473	Brain
ENSG00000131650	Brain
ENSG00000131652	Brain
ENSG00000131711	Brain
ENSG00000131737	Brain
ENSG00000131746	Brain
ENSG00000131914	Brain
ENSG00000132000	Brain
ENSG00000132003	Brain
ENSG00000132017	Brain
ENSG00000132294	Brain
ENSG00000132341	Brain
ENSG00000132361	Brain
ENSG00000132549	Brain
ENSG00000132554	Brain
ENSG00000132640	Brain
ENSG00000132874	Brain
ENSG00000132906	Brain
ENSG00000132912	Brain
ENSG00000132938	Brain
ENSG00000133056	Brain
ENSG00000133135	Brain
ENSG00000133138	Brain
ENSG00000133401	Brain
ENSG00000133454	Brain
ENSG00000133612	Brain
ENSG00000133619	Brain
ENSG00000133624	Brain
ENSG00000133640	Brain
ENSG00000133703	Brain
ENSG00000133704	Brain
ENSG00000133789	Brain
ENSG00000133858	Brain
ENSG00000133895	Brain
ENSG00000133980	Brain
ENSG00000134086	Brain
ENSG00000134121	Brain
ENSG00000134207	Brain
ENSG00000134222	Brain
ENSG00000134250	Brain
ENSG00000134253	Brain
ENSG00000134323	Brain
ENSG00000134333	Brain
ENSG00000134343	Brain
ENSG00000134369	Brain
ENSG00000134571	Brain
ENSG00000134588	Brain
ENSG00000134644	Brain
ENSG00000134690	Brain
ENSG00000134697	Brain
ENSG00000134853	Brain
ENSG00000134871	Brain
ENSG00000134899	Brain
ENSG00000134917	Brain
ENSG00000134982	Brain
ENSG00000135040	Brain
ENSG00000135046	Brain
ENSG00000135090	Brain
ENSG00000135097	Brain
ENSG00000135180	Brain
ENSG00000135205	Brain
ENSG00000135249	Brain
ENSG00000135250	Brain
ENSG00000135298	Brain
ENSG00000135318	Brain
ENSG00000135333	Brain
ENSG00000135407	Brain
ENSG00000135424	Brain
ENSG00000135426	Brain
ENSG00000135439	Brain
ENSG00000135537	Brain
ENSG00000135541	Brain
ENSG00000135577	Brain
ENSG00000135637	Brain
ENSG00000135677	Brain
ENSG00000135679	Brain
ENSG00000135720	Brain
ENSG00000135749	Brain
ENSG00000135750	Brain
ENSG00000135763	Brain
ENSG00000135821	Brain
ENSG00000135900	Brain
ENSG00000135919	Brain
ENSG00000135951	Brain
ENSG00000136051	Brain
ENSG00000136111	Brain
ENSG00000136143	Brain
ENSG00000136169	Brain
ENSG00000136240	Brain
ENSG00000136383	Brain
ENSG00000136457	Brain
ENSG00000136480	Brain
ENSG00000136574	Brain
ENSG00000136631	Brain
ENSG00000136717	Brain
ENSG00000136718	Brain
ENSG00000136732	Brain
ENSG00000136750	Brain
ENSG00000136826	Brain
ENSG00000136827	Brain
ENSG00000136848	Brain
ENSG00000136870	Brain
ENSG00000136937	Brain
ENSG00000136960	Brain
ENSG00000137076	Brain
ENSG00000137193	Brain
ENSG00000137216	Brain
ENSG00000137270	Brain
ENSG00000137558	Brain
ENSG00000137628	Brain
ENSG00000137648	Brain
ENSG00000137726	Brain
ENSG00000137801	Brain
ENSG00000137868	Brain
ENSG00000137877	Brain
ENSG00000137936	Brain
ENSG00000138068	Brain
ENSG00000138162	Brain
ENSG00000138279	Brain
ENSG00000138382	Brain
ENSG00000138398	Brain
ENSG00000138411	Brain
ENSG00000138413	Brain
ENSG00000138669	Brain
ENSG00000138685	Brain
ENSG00000138688	Brain
ENSG00000138738	Brain
ENSG00000138757	Brain
ENSG00000138768	Brain
ENSG00000138798	Brain
ENSG00000139132	Brain
ENSG00000139144	Brain
ENSG00000139187	Brain
ENSG00000139344	Brain
ENSG00000139436	Brain
ENSG00000139508	Brain
ENSG00000139517	Brain
ENSG00000139546	Brain
ENSG00000139613	Brain
ENSG00000139618	Brain
ENSG00000139687	Brain
ENSG00000139797	Brain
ENSG00000139865	Brain
ENSG00000139970	Brain
ENSG00000139973	Brain
ENSG00000139990	Brain
ENSG00000140009	Brain
ENSG00000140015	Brain
ENSG00000140199	Brain
ENSG00000140262	Brain
ENSG00000140297	Brain
ENSG00000140307	Brain
ENSG00000140382	Brain
ENSG00000140464	Brain
ENSG00000140470	Brain
ENSG00000140534	Brain
ENSG00000140538	Brain
ENSG00000140564	Brain
ENSG00000140575	Brain
ENSG00000140600	Brain
ENSG00000140795	Brain
ENSG00000140848	Brain
ENSG00000140995	Brain
ENSG00000141048	Brain
ENSG00000141161	Brain
ENSG00000141384	Brain
ENSG00000141456	Brain
ENSG00000141469	Brain
ENSG00000141503	Brain
ENSG00000141505	Brain
ENSG00000141506	Brain
ENSG00000141510	Brain
ENSG00000141556	Brain
ENSG00000141577	Brain
ENSG00000141644	Brain
ENSG00000141646	Brain
ENSG00000141736	Brain
ENSG00000141837	Brain
ENSG00000141854	Brain
ENSG00000141934	Brain
ENSG00000142166	Brain
ENSG00000142173	Brain
ENSG00000142178	Brain
ENSG00000142197	Brain
ENSG00000142449	Brain
ENSG00000142611	Brain
ENSG00000142627	Brain
